text,label
"Automatic program repair seeks to generate correct code from buggy programs, with most approaches searching the correct program in a discrete, symbolic space of source code tokens.",0
"The endeavor of automatic program repair aspires to synthesize correct code from defective programs, wherein predominant approaches conduct searches for the correct program within discrete, symbolic domains composed of source code token sequences.",1
This symbolic search is fundamentally limited by its inability to directly reason about program behavior.,0
The foundational constraint of symbolic search methodologies resides in their incapacity to engage in direct reasoning concerning program behavioral characteristics.,1
"We introduce Gradient-Based Program Repair (GBPR), a new paradigm that reframes program repair as continuous optimization in a differentiable numerical program space.",0
"Our contribution introduces Gradient-Based Program Repair (GBPR), constituting a novel paradigm that reconceptualizes program repair as continuous optimization procedures operating within differentiable numerical program spaces.",1
"Our core insight is to compile symbolic programs into differentiable numerical representations, enabling search in the numerical program space directly guided by program behavior.",0
"The fundamental insight underlying our approach involves compiling symbolic program representations into differentiable numerical forms, thereby facilitating search operations within numerical program spaces under direct guidance from program behavioral characteristics.",1
"To evaluate GBPR, we present RaspBugs, a new benchmark of 1,466 buggy symbolic RASP programs and their respective numerical representations.",0
"For GBPR evaluation purposes, we present RaspBugs, a novel benchmark corpus comprising 1,466 defective symbolic RASP programs accompanied by their corresponding numerical representations.",1
Our experiments demonstrate that GBPR can effectively repair buggy symbolic programs by gradient-based optimization in the numerical program space.,0
Experimental investigations demonstrate GBPR's efficacy in repairing defective symbolic programs through gradient-based optimization mechanisms operating within numerical program spaces.,1
"To our knowledge, we are the first to state program repair as continuous optimization in a numerical program space.",0
"To the extent of our awareness, we constitute the inaugural research to formulate program repair as continuous optimization within numerical program space domains.",1
"Our work establishes a new direction for program repair research, bridging two rich worlds: continuous optimization and program behavior.",0
"Our research establishes a novel trajectory for program repair investigations, creating a bridge between two conceptually rich domains: continuous optimization methodologies and program behavioral analysis.",1
Recent years have seen dramatic improvements in the quality and complexity of patches thanks to learning based program repair.,0
"Contemporary years have witnessed substantial advancements in both patch quality and complexity, attributable to learning-based program repair methodologies.",1
Progress on benchmarks like SWE-Bench and RepairBench has demonstrated that real-world bugs can be fixed automatically.,0
Advancement on benchmark evaluations including SWE-Bench and RepairBench has substantiated the feasibility of automatic real-world bug remediation.,1
The fundamental limitation of asking a language model to generate a patch is that it does so by reasoning about token distributions.,0
The intrinsic limitation inherent in requesting language models to generate patches resides in their reliance on reasoning about token distribution patterns.,1
Optimizing for next token prediction captures very little of the difference between buggy behavior and expected correct behavior from the specification.,0
Optimization oriented toward next token prediction captures minimal distinction between defective behavioral manifestations and anticipated correct behaviors as specified.,1
"For the same reason, it is hard to repair completely new programs as language models fail to generalize to unseen problems.",0
